,Temp,Irr,cluster
1413,8.4,0,1
1423,4.1,6,1
1424,5.2,106,1
1425,6.1,168,5
1426,6.7,209,5
1427,7.5,304,5
1428,8.2,346,5
1429,8.3,272,5
1430,8.3,189,5
1431,8.7,347,5
1432,8.7,237,5
1433,8.2,98,1
1434,7.4,2,1
1435,6.9,0,1
1436,6.4,0,1
1437,5.8,0,1
1447,4.0,16,1
1448,4.8,90,1
1449,6.6,287,5
1450,7.6,305,5
1451,7.1,52,1
1452,7.9,361,5
1453,8.8,437,4
1454,9.3,399,5
1455,9.0,190,5
1456,8.0,18,1
1457,7.5,7,1
1458,6.9,0,1
1459,6.3,0,1
1460,5.7,0,1
1461,5.1,0,1
1519,0.4,3,2
1520,0.5,14,2
1521,1.4,113,2
1522,2.9,265,5
1523,4.2,350,5
1524,5.2,387,5
1525,5.7,319,5
1526,6.3,376,5
1527,6.3,250,5
1528,5.9,127,1
1529,5.2,47,1
1530,4.5,1,1
1531,4.3,0,1
1532,4.1,0,1
1533,3.9,0,1
1543,2.5,7,2
1544,3.5,93,1
1545,4.7,184,5
1546,5.6,241,5
1547,6.3,275,5
1548,6.9,317,5
1549,7.4,307,5
1550,7.6,271,5
1551,7.5,192,5
1552,7.1,127,1
1553,6.5,45,1
1554,5.8,1,1
1555,5.5,0,1
1556,5.1,0,1
1557,4.7,0,1
1567,2.7,5,2
1568,3.1,34,1
1569,3.6,75,1
1570,3.9,89,1
1571,4.2,100,1
1572,4.5,111,1
1573,6.0,467,5
1574,6.9,400,5
1575,7.3,316,5
1576,7.4,197,5
1577,7.0,76,1
1578,6.4,1,1
1579,5.6,0,1
1580,4.8,0,1
1581,4.0,0,1
1591,-2.6,16,2
1592,-1.5,150,2
1593,-0.5,267,5
1594,0.5,386,5
1595,1.3,452,5
1596,1.8,468,5
1597,2.1,472,5
1598,2.2,396,5
1599,2.0,319,5
1600,1.5,203,5
1601,0.7,81,2
1602,-0.2,1,2
1603,-0.9,0,2
1604,-1.5,0,2
1605,-2.2,0,2
1615,-3.6,24,2
1616,-1.5,194,2
1617,0.4,346,5
1618,2.2,485,5
1619,3.7,578,4
1620,5.0,633,4
1621,5.8,618,4
1622,6.2,551,4
1623,6.1,425,5
1624,5.4,271,5
1625,4.2,115,1
1626,2.8,2,2
1627,2.4,0,2
1628,1.9,0,2
1629,1.4,0,2
1687,-0.1,58,2
1688,1.4,200,2
1689,3.1,347,5
1690,4.8,468,5
1691,6.3,553,4
1692,7.4,578,4
1693,8.3,575,4
1694,8.7,513,4
1695,8.7,393,5
1696,8.2,268,5
1697,7.2,123,1
1698,5.9,4,1
1699,5.5,0,1
1700,5.0,0,1
1701,4.6,0,1
1711,3.9,40,1
1712,4.4,99,1
1713,4.7,156,5
1714,5.8,123,1
1715,6.7,203,5
1716,7.0,193,5
1717,7.3,158,5
1718,7.5,188,5
1719,7.7,213,5
1720,7.8,150,1
1721,7.5,57,1
1722,6.9,2,1
1723,6.5,0,1
1724,6.1,0,1
1725,5.6,0,1
1735,3.1,49,1
1736,4.4,162,5
1737,6.0,286,5
1738,7.4,382,5
1739,8.7,451,4
1740,9.8,482,4
1741,10.5,470,4
1742,10.9,411,0
1743,11.0,330,0
1744,10.5,215,0
1745,9.7,95,3
1746,8.6,2,1
1747,8.2,0,1
1748,7.9,0,1
1749,7.5,0,1
1759,6.0,28,1
1760,7.1,97,1
1761,8.0,171,5
1762,8.7,208,5
1763,9.2,205,5
1764,9.5,225,5
1765,9.7,173,0
1766,9.5,115,3
1767,9.1,71,1
1768,8.6,82,1
1769,8.8,30,1
1770,8.2,2,1
1771,8.1,0,1
1772,7.6,0,1
1773,6.3,0,1
1783,6.0,72,1
1784,7.0,147,1
1785,8.3,266,5
1786,9.6,380,0
1787,10.2,313,0
