Hours,Temp,Irr,Type
945,-3.6,29,A
946,-1.5,276,A
947,-0.1,283,A
948,2.0,521,A
949,2.8,365,A
950,3.1,273,A
951,3.0,209,A
952,2.1,58,A
953,1.1,3,A
954,0.9,0,A
955,0.6,0,A
956,0.3,0,A
957,0.0,0,A
958,-0.3,0,B
959,-0.6,0,B
960,-0.8,0,B
961,-1.1,0,B
962,-1.3,0,B
963,-1.4,0,B
964,-1.6,0,B
965,-1.6,0,B
966,-1.7,0,B
967,-1.7,0,B
968,-0.6,72,B
969,1.4,234,B
970,3.0,314,B
971,4.1,344,B
972,4.6,282,B
973,5.0,298,B
974,4.5,139,B
975,3.9,98,B
976,3.0,29,B
977,2.2,3,B
978,1.9,0,B
979,1.7,0,B
980,1.4,0,B
981,1.1,0,B
982,0.8,0,B
983,0.6,0,B
984,0.2,0,B
985,-0.3,0,B
986,-0.5,0,B
987,-0.7,0,B
988,-0.9,0,B
989,-1.0,0,B
990,-1.1,0,B
991,-1.1,0,B
992,-1.1,6,B
993,-0.3,70,B
994,0.9,160,B
995,2.0,217,B
996,3.1,286,B
997,3.9,271,B
998,4.5,284,B
999,4.9,265,B
1000,4.8,168,B
1001,4.0,28,B
1002,3.6,0,B
1003,3.2,0,B
1004,2.9,0,B
1005,2.5,0,B
1006,2.1,0,B
1007,1.7,0,B
1008,1.4,0,B
1009,1.0,0,B
1010,0.5,0,B
1011,0.3,0,B
1012,0.1,0,B
1013,0.0,0,B
1014,-0.3,0,B
1015,-0.4,0,A
1016,-0.3,15,A
1017,0.0,44,A
1018,0.3,67,A
1019,0.6,88,A
1020,0.7,88,A
1021,0.8,87,A
1022,0.7,67,A
1023,0.5,51,A
1024,0.4,26,A
1025,0.2,3,A
1026,0.2,0,A
1027,-0.2,0,A
1028,-0.1,0,A
1029,0.0,0,A
1030,-1.1,0,B
1031,-0.4,0,B
1032,0.3,0,B
1033,0.6,0,B
1034,0.8,0,B
1035,1.0,0,B
1036,0.9,0,B
1037,1.3,0,B
1038,1.4,0,B
1039,1.5,0,A
1040,2.4,40,A
1041,3.6,107,A
1042,5.0,183,A
1043,6.4,243,A
1044,7.4,252,A
1045,8.1,246,A
1046,8.5,213,A
1047,8.6,169,A
1048,8.1,82,A
1049,7.3,3,A
1050,6.6,0,A
1051,5.9,0,A
1052,5.2,0,A
1053,4.5,0,A
1054,3.8,0,B
1055,3.1,0,B
1056,1.9,0,B
1057,0.6,0,B
1058,-0.7,0,B
1059,-1.5,0,B
1060,-2.2,0,B
1061,-2.8,0,B
1062,-3.3,0,B
1063,-3.4,0,A
1064,-3.2,41,A
1065,-2.5,156,A
1066,-2.1,193,A
1067,-2.4,70,A
1068,-2.4,188,A
1069,-2.4,126,A
1070,-2.8,142,A
1071,-2.3,223,A
1072,-2.4,138,A
1073,-2.8,34,A
1074,-3.3,0,A
1075,-3.9,0,A
1076,-4.4,0,A
1077,-4.9,0,A
1078,-5.4,0,B
1079,-5.9,0,B
1080,-5.8,0,B
1081,-5.8,0,B
1082,-5.8,0,B
1083,-5.8,0,B
1084,-5.8,0,B
1085,-5.9,0,B
1086,-5.9,0,B
1087,-6.0,1,A
1088,-4.6,96,A
1089,-2.7,249,A
1090,-0.7,384,A
1091,1.0,473,A
1092,2.2,507,A
1093,3.0,494,A
1094,3.4,428,A
1095,3.3,320,A
1096,2.4,176,A
1097,1.0,18,A
1098,0.5,0,A
1099,0.0,0,A
1100,-0.4,0,A
1101,-0.9,0,A
1102,-1.4,0,B
1103,-1.8,0,B
1104,-2.0,0,B
1105,-2.1,0,B
1106,-2.3,0,B
1107,-2.4,0,B
1108,-2.4,0,B
1109,-2.5,0,B
1110,-2.5,0,B
1111,-2.5,0,A
1112,-1.1,76,A
1113,0.7,191,A
1114,2.8,314,A
1115,4.5,381,A
1116,5.7,380,A
1117,6.5,371,A
1118,6.9,334,A
1119,6.9,262,A
1120,6.2,148,A
1121,4.9,16,A
1122,4.6,0,A
1123,4.2,0,A
1124,3.8,0,A
1125,3.4,0,A
1126,3.0,0,B
1127,2.7,0,B
1128,2.3,0,B
1129,1.9,0,B
1130,1.5,0,B
1131,1.3,0,B
1132,1.2,0,B
1133,1.1,0,B
1134,0.9,0,B
1135,1.0,1,B
1136,2.5,88,B
1137,4.6,219,B
1138,6.0,268,B
1139,7.3,329,B
1140,8.2,328,B
1141,9.7,514,B
1142,10.2,362,B
1143,10.4,309,B
1144,9.8,153,B
1145,8.5,12,B
1146,7.5,0,B
1147,6.6,0,B
1148,5.6,0,B
1149,4.6,0,B
1150,3.7,0,B
1151,2.7,0,B
1152,1.6,0,B
1153,0.4,0,B
1154,-0.8,0,B
1155,-1.4,0,B
1156,-2.1,0,B
1157,-2.6,0,B
1158,-3.0,0,B
1159,-3.1,1,B
1160,-2.0,84,B
1161,-0.5,211,B
1162,1.1,330,B
1163,2.4,404,B
1164,3.3,409,B
1165,4.1,465,B
1166,4.6,432,B
1167,4.5,293,B
1168,3.7,160,B
